Grupo,Codigo_Regiao,Reg_Saude,Município,Total,Semana,Casos
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,21,3
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,22,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,23,2
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,24,2
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,25,3
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,26,3
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,27,3
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,28,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,29,2
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,30,1
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,31,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,32,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,33,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,34,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,35,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,36,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,37,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,38,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,39,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,40,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,41,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,42,1
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,43,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,44,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,45,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,46,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,47,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,48,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,49,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,50,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,51,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,52,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,1,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,2,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,3,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,4,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,5,2
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,6,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,7,7
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,8,17
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,9,25
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,10,13
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,11,15
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,12,27
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,13,21
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,14,33
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,15,57
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,16,61
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,17,36
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,18,55
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,19,38
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,20,41
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,21,18
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,22,14
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,23,18
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,24,6
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,25,8
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,26,7
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,27,5
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,28,4
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,29,4
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,30,7
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,31,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,32,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,33,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,34,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,35,2
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,36,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,37,5
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,38,5
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,39,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,40,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,41,4
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,42,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,43,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,44,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,45,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,46,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,47,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,48,4
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,49,3
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,50,3
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,51,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,579,52,7
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,1,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,2,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,3,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,4,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,5,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,6,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,7,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,8,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,9,4
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,10,5
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,11,7
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,12,3
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,13,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,14,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,15,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,16,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,17,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,18,2
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,19,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,20,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,21,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,22,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,23,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,24,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,25,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,26,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,27,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,28,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,29,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,30,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,31,1
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,32,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,33,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,34,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,35,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,36,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,37,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,38,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,39,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,40,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,41,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,42,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,43,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,44,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,45,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,46,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,47,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,48,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,49,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,50,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,51,0
SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,28,52,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,1,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,2,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,3,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,4,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,5,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,6,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,7,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,8,1
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,9,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,10,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,11,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,12,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,13,1
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,14,1
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,15,3
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,16,1
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,17,1
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,18,1
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,19,1
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,20,2
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,21,1
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,22,1
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,23,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,24,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,25,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,26,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,27,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,28,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,29,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,30,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,31,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,32,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,33,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,34,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,35,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,36,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,37,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,38,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,39,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,40,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,41,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,42,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,43,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,44,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,45,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,46,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,47,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,48,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,49,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,50,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,51,0
CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,14,52,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,1,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,2,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,3,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,4,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,5,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,6,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,7,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,8,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,9,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,10,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,11,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,12,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,13,2
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,14,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,15,1
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,16,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,17,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,18,1
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,19,1
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,20,2
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,21,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,22,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,23,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,24,1
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,25,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,26,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,27,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,28,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,29,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,30,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,31,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,32,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,33,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,34,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,35,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,36,0
BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,8,37,0
