Grupo,Codigo_Regiao,Reg_Saude,Município,Total,Semana,Casos
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,1,0
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,2,0
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,3,0
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,4,0
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,5,1
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,6,6
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,7,3
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,8,9
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,9,6
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,10,6
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,11,17
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,12,21
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,13,19
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,14,49
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,15,52
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,16,71
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,17,117
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,18,154
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,19,160
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,20,246
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,21,177
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,22,152
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,23,153
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,24,110
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,25,135
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,26,100
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,27,66
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,28,55
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,29,36
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,30,27
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,31,24
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,32,17
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,33,21
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,34,16
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,35,6
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,36,4
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,37,7
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,38,3
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,39,4
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,40,5
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,41,1
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,42,5
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,43,2
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,44,2
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,45,1
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,46,1
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,47,2
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,48,2
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,49,0
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,50,1
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,51,0
MARÍLIA,35091,ADAMANTINA,350010 Adamantina,2079,52,7
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,1,6
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,2,10
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,3,11
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,4,9
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,5,11
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,6,7
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,7,3
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,8,3
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,9,5
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,10,5
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,11,1
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,12,8
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,13,2
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,14,4
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,15,1
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,16,3
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,17,1
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,18,1
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,19,0
SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,116,20,5
